ZIP CODE	STATE	MSA No.	GPCI	GPCI	GPCI	County No.	MSA Name
00928	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00929	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00930	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00931	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00933	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00934	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00935	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00936	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00937	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00938	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00939	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00940	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00949	PR	41980	1.000	0.845	0.249	137	San Juan-Caguas-Guaynabo, PR MSA
00950	PR	41980	1.000	0.845	0.249	137	San Juan-Caguas-Guaynabo, PR MSA
00951	PR	41980	1.000	0.845	0.249	137	San Juan-Caguas-Guaynabo, PR MSA
00952	PR	41980	1.000	0.845	0.249	137	San Juan-Caguas-Guaynabo, PR MSA
00953	PR	41980	1.000	0.845	0.249	135	San Juan-Caguas-Guaynabo, PR MSA
00954	PR	41980	1.000	0.845	0.249	135	San Juan-Caguas-Guaynabo, PR MSA
00955	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00956	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00957	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00958	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00959	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00960	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00961	PR	41980	1.000	0.845	0.249	021	San Juan-Caguas-Guaynabo, PR MSA
00962	PR	41980	1.000	0.845	0.249	033	San Juan-Caguas-Guaynabo, PR MSA
00963	PR	41980	1.000	0.845	0.249	033	San Juan-Caguas-Guaynabo, PR MSA
00965	PR	41980	1.000	0.845	0.249	061	San Juan-Caguas-Guaynabo, PR MSA
00966	PR	41980	1.000	0.845	0.249	061	San Juan-Caguas-Guaynabo, PR MSA
00968	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00969	PR	41980	1.000	0.845	0.249	061	San Juan-Caguas-Guaynabo, PR MSA
00970	PR	41980	1.000	0.845	0.249	061	San Juan-Caguas-Guaynabo, PR MSA
00971	PR	41980	1.000	0.845	0.249	061	San Juan-Caguas-Guaynabo, PR MSA
00975	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00976	PR	41980	1.000	0.845	0.249	139	San Juan-Caguas-Guaynabo, PR MSA
00977	PR	41980	1.000	0.845	0.249	139	San Juan-Caguas-Guaynabo, PR MSA
00978	PR	41980	1.000	0.845	0.249	139	San Juan-Caguas-Guaynabo, PR MSA
00979	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00981	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00982	PR	41980	1.000	0.845	0.249	127	San Juan-Caguas-Guaynabo, PR MSA
00983	PR	41980	1.000	0.845	0.249	031	San Juan-Caguas-Guaynabo, PR MSA
00984	PR	41980	1.000	0.845	0.249	031	San Juan-Caguas-Guaynabo, PR MSA
00985	PR	41980	1.000	0.845	0.249	031	San Juan-Caguas-Guaynabo, PR MSA
00986	PR	41980	1.000	0.845	0.249	031	San Juan-Caguas-Guaynabo, PR MSA
00987	PR	41980	1.000	0.845	0.249	031	San Juan-Caguas-Guaynabo, PR MSA
00988	PR	41980	1.000	0.845	0.249	031	San Juan-Caguas-Guaynabo, PR MSA
01001	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01002	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01003	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01004	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01005	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01007	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01008	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01009	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01010	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01011	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01012	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01013	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01014	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01020	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01021	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01022	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01026	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01027	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01028	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01029	MA	38340	1.010	1.100	0.776	013	Pittsfield, MA MSA
01030	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01031	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01032	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01033	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01034	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01035	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01036	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01037	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01038	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01039	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01040	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01041	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01050	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01053	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01054	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01056	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01057	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01059	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01060	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01061	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01062	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01063	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01066	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01068	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01069	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01070	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01071	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01072	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01073	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01074	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01075	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01077	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01079	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01080	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01081	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01082	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01083	MA	49340	1.010	1.100	0.776	013	Worcester, MA MSA
01084	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01085	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01086	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
01088	MA	44140	1.010	1.100	0.776	013	Springfield, MA MSA
